review_id	source_record_id	paper_id	status	operator	operator_status	ready	context_chars	routed_section_ids	signal_terms	numeric_hits	structured_source	text_chars	sections	tables	figures	title	fulltext_path
H034	R048	microbiota-derived-postbiotics-enhance-the-proliferative-effects-of-growth-facto	ready_for_operator_extraction	context	ready	yes	15030	S1;S3;S4	bovine;cell;cells;muscle;satellite	13	plain_text	41820	8	0	0	Microbiota-Derived Postbiotics Enhance the Proliferative Effects of Growth Factors on Satellite Cells in Cultivated Meat Applications	data/papers/microbiota-derived-postbiotics-enhance-the-proliferative-effects-of-growth-facto/fulltext.txt
H034	R048	microbiota-derived-postbiotics-enhance-the-proliferative-effects-of-growth-facto	ready_for_operator_extraction	medium	ready	yes	16777	S2;S4;S5;S6	dmem;fgf2;formulation;media;medium;serum;serum-free;supplement	35	plain_text	41820	8	0	0	Microbiota-Derived Postbiotics Enhance the Proliferative Effects of Growth Factors on Satellite Cells in Cultivated Meat Applications	data/papers/microbiota-derived-postbiotics-enhance-the-proliferative-effects-of-growth-facto/fulltext.txt
H034	R048	microbiota-derived-postbiotics-enhance-the-proliferative-effects-of-growth-facto	ready_for_operator_extraction	dose	ready	yes	16777	S2;S4;S5;S6	concentration;dose;mg/ml;ng/ml;passage;proliferation;viability	35	plain_text	41820	8	0	0	Microbiota-Derived Postbiotics Enhance the Proliferative Effects of Growth Factors on Satellite Cells in Cultivated Meat Applications	data/papers/microbiota-derived-postbiotics-enhance-the-proliferative-effects-of-growth-facto/fulltext.txt
H034	R048	microbiota-derived-postbiotics-enhance-the-proliferative-effects-of-growth-facto	ready_for_operator_extraction	endpoints	ready	yes	16777	S2;S4;S5;S6	differentiation;myod;myog;myogenic;pax7;proliferation;viability	35	plain_text	41820	8	0	0	Microbiota-Derived Postbiotics Enhance the Proliferative Effects of Growth Factors on Satellite Cells in Cultivated Meat Applications	data/papers/microbiota-derived-postbiotics-enhance-the-proliferative-effects-of-growth-facto/fulltext.txt
H034	R048	microbiota-derived-postbiotics-enhance-the-proliferative-effects-of-growth-facto	ready_for_operator_extraction	findings	ready	yes	31070	S1;S2;S3;S5;S6;S7	alternative;conclusion;cost;increased;limitation;serum-free	25	plain_text	41820	8	0	0	Microbiota-Derived Postbiotics Enhance the Proliferative Effects of Growth Factors on Satellite Cells in Cultivated Meat Applications	data/papers/microbiota-derived-postbiotics-enhance-the-proliferative-effects-of-growth-facto/fulltext.txt
H035	R049	discovery-of-novel-stimulators-of-pax7-andor-myod-enhancing-the-efficacy-of-cult	ready_for_operator_extraction	context	ready	yes	11150	S1;S2;S4	bovine;cell;cells;muscle;myoblast;satellite	10	plain_text	38683	8	0	0	Discovery of Novel Stimulators of Pax7 and/or MyoD: Enhancing the Efficacy of Cultured Meat Production through Culture Media Enrichment	data/papers/discovery-of-novel-stimulators-of-pax7-andor-myod-enhancing-the-efficacy-of-cult/fulltext.txt
H035	R049	discovery-of-novel-stimulators-of-pax7-andor-myod-enhancing-the-efficacy-of-cult	ready_for_operator_extraction	medium	ready	yes	10967	S4;S5	medium;serum;supplement	12	plain_text	38683	8	0	0	Discovery of Novel Stimulators of Pax7 and/or MyoD: Enhancing the Efficacy of Cultured Meat Production through Culture Media Enrichment	data/papers/discovery-of-novel-stimulators-of-pax7-andor-myod-enhancing-the-efficacy-of-cult/fulltext.txt
H035	R049	discovery-of-novel-stimulators-of-pax7-andor-myod-enhancing-the-efficacy-of-cult	ready_for_operator_extraction	dose	ready	yes	15637	S5;S7	concentration;dose;proliferation;viability	2	plain_text	38683	8	0	0	Discovery of Novel Stimulators of Pax7 and/or MyoD: Enhancing the Efficacy of Cultured Meat Production through Culture Media Enrichment	data/papers/discovery-of-novel-stimulators-of-pax7-andor-myod-enhancing-the-efficacy-of-cult/fulltext.txt
H035	R049	discovery-of-novel-stimulators-of-pax7-andor-myod-enhancing-the-efficacy-of-cult	ready_for_operator_extraction	endpoints	ready	yes	5509	S5	differentiation;myod;myog;myogenic;pax7;proliferation;viability	2	plain_text	38683	8	0	0	Discovery of Novel Stimulators of Pax7 and/or MyoD: Enhancing the Efficacy of Cultured Meat Production through Culture Media Enrichment	data/papers/discovery-of-novel-stimulators-of-pax7-andor-myod-enhancing-the-efficacy-of-cult/fulltext.txt
H035	R049	discovery-of-novel-stimulators-of-pax7-andor-myod-enhancing-the-efficacy-of-cult	ready_for_operator_extraction	findings	ready	yes	21480	S1;S2;S5;S6	alternative;conclusion;cost;decreased;increased;serum-free;significant	3	plain_text	38683	8	0	0	Discovery of Novel Stimulators of Pax7 and/or MyoD: Enhancing the Efficacy of Cultured Meat Production through Culture Media Enrichment	data/papers/discovery-of-novel-stimulators-of-pax7-andor-myod-enhancing-the-efficacy-of-cult/fulltext.txt
H036	R050	effect-of-serum-and-oxygen-on-the-in-vitro-culture-of-hanwoo-korean-native-cattl	ready_for_operator_extraction	context	ready	yes	14562	S1;S2;S3	bovine;cell;cells;muscle;myoblast	13	plain_text	51511	7	0	0	Effect of Serum and Oxygen on the In Vitro Culture of Hanwoo Korean Native Cattle-Derived Skeletal Myogenic Cells Used in Cellular Agriculture	data/papers/effect-of-serum-and-oxygen-on-the-in-vitro-culture-of-hanwoo-korean-native-cattl/fulltext.txt
H036	R050	effect-of-serum-and-oxygen-on-the-in-vitro-culture-of-hanwoo-korean-native-cattl	ready_for_operator_extraction	medium	ready	yes	27586	S3;S4	basal;dmem;extract;media;medium;serum;serum-free;supplement	32	plain_text	51511	7	0	0	Effect of Serum and Oxygen on the In Vitro Culture of Hanwoo Korean Native Cattle-Derived Skeletal Myogenic Cells Used in Cellular Agriculture	data/papers/effect-of-serum-and-oxygen-on-the-in-vitro-culture-of-hanwoo-korean-native-cattl/fulltext.txt
H036	R050	effect-of-serum-and-oxygen-on-the-in-vitro-culture-of-hanwoo-korean-native-cattl	ready_for_operator_extraction	dose	ready	yes	37643	S3;S4;S6	cell number;concentration;ng/ml;passage;proliferation	39	plain_text	51511	7	0	0	Effect of Serum and Oxygen on the In Vitro Culture of Hanwoo Korean Native Cattle-Derived Skeletal Myogenic Cells Used in Cellular Agriculture	data/papers/effect-of-serum-and-oxygen-on-the-in-vitro-culture-of-hanwoo-korean-native-cattl/fulltext.txt
